gibraltar_storage,cachuma_carryover,cachuma_allocation,swp_allocation,intensity,water_sold,capacity factor,demand_projection
1,0.0,0.75,0.5,2,0,0.9,1
1,0.0,0.75,0.5,2,0,0.9,0
1,0.0,0.75,0.5,2,0,0.9,2
1,0.0,0.75,1.0,0,0,0.9,1
1,0.0,0.75,1.0,0,0,0.9,0
1,0.0,0.75,1.0,0,0,0.9,2
1,0.0,0.75,1.0,1,0,0.9,1
1,0.0,0.75,1.0,1,0,0.9,0
1,0.0,0.75,1.0,1,0,0.9,2
1,0.0,0.75,1.0,2,0,0.9,1
1,0.0,0.75,1.0,2,0,0.9,0
1,0.0,0.75,1.0,2,0,0.9,2
1,0.0,1.0,0.0,0,0,0.9,1
1,0.0,1.0,0.0,0,0,0.9,0
1,0.0,1.0,0.0,0,0,0.9,2
1,0.0,1.0,0.0,1,0,0.9,1
1,0.0,1.0,0.0,1,0,0.9,0
1,0.0,1.0,0.0,1,0,0.9,2
1,0.0,1.0,0.0,2,0,0.9,1
1,0.0,1.0,0.0,2,0,0.9,0
1,0.0,1.0,0.0,2,0,0.9,2
1,0.0,1.0,0.5,0,0,0.9,1
1,0.0,1.0,0.5,0,0,0.9,0
1,0.0,1.0,0.5,0,0,0.9,2
1,0.0,1.0,0.5,1,0,0.9,1
1,0.0,1.0,0.5,1,0,0.9,0
1,0.0,1.0,0.5,1,0,0.9,2
1,0.0,1.0,0.5,2,0,0.9,1
1,0.0,1.0,0.5,2,0,0.9,0
1,0.0,1.0,0.5,2,0,0.9,2
1,0.0,1.0,1.0,0,0,0.9,1
1,0.0,1.0,1.0,0,0,0.9,0
1,0.0,1.0,1.0,0,0,0.9,2
1,0.0,1.0,1.0,1,0,0.9,1
1,0.0,1.0,1.0,1,0,0.9,0
1,0.0,1.0,1.0,1,0,0.9,2
1,0.0,1.0,1.0,2,0,0.9,1
1,0.0,1.0,1.0,2,0,0.9,0
1,0.0,1.0,1.0,2,0,0.9,2
2,0.0,0.0,0.0,0,0,0.9,1
2,0.0,0.0,0.0,0,0,0.9,0
2,0.0,0.0,0.0,0,0,0.9,2
2,0.0,0.0,0.0,1,0,0.9,1
2,0.0,0.0,0.0,1,0,0.9,0
2,0.0,0.0,0.0,1,0,0.9,2
2,0.0,0.0,0.0,2,0,0.9,1
2,0.0,0.0,0.0,2,0,0.9,0
2,0.0,0.0,0.0,2,0,0.9,2
2,0.0,0.0,0.5,0,0,0.9,1
2,0.0,0.0,0.5,0,0,0.9,0
2,0.0,0.0,0.5,0,0,0.9,2
2,0.0,0.0,0.5,1,0,0.9,1
2,0.0,0.0,0.5,1,0,0.9,0
2,0.0,0.0,0.5,1,0,0.9,2
2,0.0,0.0,0.5,2,0,0.9,1
2,0.0,0.0,0.5,2,0,0.9,0
2,0.0,0.0,0.5,2,0,0.9,2
2,0.0,0.0,1.0,0,0,0.9,1
2,0.0,0.0,1.0,0,0,0.9,0
2,0.0,0.0,1.0,0,0,0.9,2
2,0.0,0.0,1.0,1,0,0.9,1
2,0.0,0.0,1.0,1,0,0.9,0
2,0.0,0.0,1.0,1,0,0.9,2
2,0.0,0.0,1.0,2,0,0.9,1
2,0.0,0.0,1.0,2,0,0.9,0
2,0.0,0.0,1.0,2,0,0.9,2
2,0.0,0.25,0.0,0,0,0.9,1
2,0.0,0.25,0.0,0,0,0.9,0
2,0.0,0.25,0.0,0,0,0.9,2
2,0.0,0.25,0.0,1,0,0.9,1
2,0.0,0.25,0.0,1,0,0.9,0
2,0.0,0.25,0.0,1,0,0.9,2
2,0.0,0.25,0.0,2,0,0.9,1
2,0.0,0.25,0.0,2,0,0.9,0
2,0.0,0.25,0.0,2,0,0.9,2
2,0.0,0.25,0.5,0,0,0.9,1
2,0.0,0.25,0.5,0,0,0.9,0
2,0.0,0.25,0.5,0,0,0.9,2
2,0.0,0.25,0.5,1,0,0.9,1
2,0.0,0.25,0.5,1,0,0.9,0
2,0.0,0.25,0.5,1,0,0.9,2
2,0.0,0.25,0.5,2,0,0.9,1
2,0.0,0.25,0.5,2,0,0.9,0
2,0.0,0.25,0.5,2,0,0.9,2
2,0.0,0.25,1.0,0,0,0.9,1
2,0.0,0.25,1.0,0,0,0.9,0
2,0.0,0.25,1.0,0,0,0.9,2
2,0.0,0.25,1.0,1,0,0.9,1
2,0.0,0.25,1.0,1,0,0.9,0
2,0.0,0.25,1.0,1,0,0.9,2
2,0.0,0.25,1.0,2,0,0.9,1
2,0.0,0.25,1.0,2,0,0.9,0
2,0.0,0.25,1.0,2,0,0.9,2
2,0.0,0.5,0.0,0,0,0.9,1
2,0.0,0.5,0.0,0,0,0.9,0
2,0.0,0.5,0.0,0,0,0.9,2
2,0.0,0.5,0.0,1,0,0.9,1
2,0.0,0.5,0.0,1,0,0.9,0
2,0.0,0.5,0.0,1,0,0.9,2
2,0.0,0.5,0.0,2,0,0.9,1
2,0.0,0.5,0.0,2,0,0.9,0
2,0.0,0.5,0.0,2,0,0.9,2
2,0.0,0.5,0.5,0,0,0.9,1
2,0.0,0.5,0.5,0,0,0.9,0
2,0.0,0.5,0.5,0,0,0.9,2
2,0.0,0.5,0.5,1,0,0.9,1
2,0.0,0.5,0.5,1,0,0.9,0
2,0.0,0.5,0.5,1,0,0.9,2
2,0.0,0.5,0.5,2,0,0.9,1
2,0.0,0.5,0.5,2,0,0.9,0
2,0.0,0.5,0.5,2,0,0.9,2
2,0.0,0.5,1.0,0,0,0.9,1
2,0.0,0.5,1.0,0,0,0.9,0
2,0.0,0.5,1.0,0,0,0.9,2
2,0.0,0.5,1.0,1,0,0.9,1
2,0.0,0.5,1.0,1,0,0.9,0
2,0.0,0.5,1.0,1,0,0.9,2
2,0.0,0.5,1.0,2,0,0.9,1
2,0.0,0.5,1.0,2,0,0.9,0
2,0.0,0.5,1.0,2,0,0.9,2
2,0.0,0.75,0.0,0,0,0.9,1
2,0.0,0.75,0.0,0,0,0.9,0
2,0.0,0.75,0.0,0,0,0.9,2
2,0.0,0.75,0.0,1,0,0.9,1
2,0.0,0.75,0.0,1,0,0.9,0
2,0.0,0.75,0.0,1,0,0.9,2
2,0.0,0.75,0.0,2,0,0.9,1
2,0.0,0.75,0.0,2,0,0.9,0
2,0.0,0.75,0.0,2,0,0.9,2
2,0.0,0.75,0.5,0,0,0.9,1
2,0.0,0.75,0.5,0,0,0.9,0
2,0.0,0.75,0.5,0,0,0.9,2
2,0.0,0.75,0.5,1,0,0.9,1
2,0.0,0.75,0.5,1,0,0.9,0
2,0.0,0.75,0.5,1,0,0.9,2
2,0.0,0.75,0.5,2,0,0.9,1
2,0.0,0.75,0.5,2,0,0.9,0
2,0.0,0.75,0.5,2,0,0.9,2
2,0.0,0.75,1.0,0,0,0.9,1
2,0.0,0.75,1.0,0,0,0.9,0
2,0.0,0.75,1.0,0,0,0.9,2
2,0.0,0.75,1.0,1,0,0.9,1
2,0.0,0.75,1.0,1,0,0.9,0
2,0.0,0.75,1.0,1,0,0.9,2
2,0.0,0.75,1.0,2,0,0.9,1
2,0.0,0.75,1.0,2,0,0.9,0
2,0.0,0.75,1.0,2,0,0.9,2
2,0.0,1.0,0.0,0,0,0.9,1
2,0.0,1.0,0.0,0,0,0.9,0
2,0.0,1.0,0.0,0,0,0.9,2
2,0.0,1.0,0.0,1,0,0.9,1
2,0.0,1.0,0.0,1,0,0.9,0
2,0.0,1.0,0.0,1,0,0.9,2
2,0.0,1.0,0.0,2,0,0.9,1
2,0.0,1.0,0.0,2,0,0.9,0
2,0.0,1.0,0.0,2,0,0.9,2
2,0.0,1.0,0.5,0,0,0.9,1
2,0.0,1.0,0.5,0,0,0.9,0
2,0.0,1.0,0.5,0,0,0.9,2
2,0.0,1.0,0.5,1,0,0.9,1
2,0.0,1.0,0.5,1,0,0.9,0
2,0.0,1.0,0.5,1,0,0.9,2
2,0.0,1.0,0.5,2,0,0.9,1
2,0.0,1.0,0.5,2,0,0.9,0
2,0.0,1.0,0.5,2,0,0.9,2
2,0.0,1.0,1.0,0,0,0.9,1
2,0.0,1.0,1.0,0,0,0.9,0
2,0.0,1.0,1.0,0,0,0.9,2
2,0.0,1.0,1.0,1,0,0.9,1
2,0.0,1.0,1.0,1,0,0.9,0
2,0.0,1.0,1.0,1,0,0.9,2
2,0.0,1.0,1.0,2,0,0.9,1
2,0.0,1.0,1.0,2,0,0.9,0
2,0.0,1.0,1.0,2,0,0.9,2
3,0.0,0.0,0.0,0,0,0.9,1
3,0.0,0.0,0.0,0,0,0.9,0
3,0.0,0.0,0.0,0,0,0.9,2
3,0.0,0.0,0.0,1,0,0.9,1
3,0.0,0.0,0.0,1,0,0.9,0
3,0.0,0.0,0.0,1,0,0.9,2
3,0.0,0.0,0.0,2,0,0.9,1
3,0.0,0.0,0.0,2,0,0.9,0
3,0.0,0.0,0.0,2,0,0.9,2
3,0.0,0.0,0.5,0,0,0.9,1
3,0.0,0.0,0.5,0,0,0.9,0
3,0.0,0.0,0.5,0,0,0.9,2
3,0.0,0.0,0.5,1,0,0.9,1
3,0.0,0.0,0.5,1,0,0.9,0
3,0.0,0.0,0.5,1,0,0.9,2
3,0.0,0.0,0.5,2,0,0.9,1
3,0.0,0.0,0.5,2,0,0.9,0
3,0.0,0.0,0.5,2,0,0.9,2
3,0.0,0.0,1.0,0,0,0.9,1
3,0.0,0.0,1.0,0,0,0.9,0
3,0.0,0.0,1.0,0,0,0.9,2
3,0.0,0.0,1.0,1,0,0.9,1
3,0.0,0.0,1.0,1,0,0.9,0
3,0.0,0.0,1.0,1,0,0.9,2
3,0.0,0.0,1.0,2,0,0.9,1
3,0.0,0.0,1.0,2,0,0.9,0
3,0.0,0.0,1.0,2,0,0.9,2
3,0.0,0.25,0.0,0,0,0.9,1
3,0.0,0.25,0.0,0,0,0.9,0
3,0.0,0.25,0.0,0,0,0.9,2
3,0.0,0.25,0.0,1,0,0.9,1
3,0.0,0.25,0.0,1,0,0.9,0
3,0.0,0.25,0.0,1,0,0.9,2
3,0.0,0.25,0.0,2,0,0.9,1
3,0.0,0.25,0.0,2,0,0.9,0
3,0.0,0.25,0.0,2,0,0.9,2
3,0.0,0.25,0.5,0,0,0.9,1
3,0.0,0.25,0.5,0,0,0.9,0
3,0.0,0.25,0.5,0,0,0.9,2
3,0.0,0.25,0.5,1,0,0.9,1
3,0.0,0.25,0.5,1,0,0.9,0
3,0.0,0.25,0.5,1,0,0.9,2
3,0.0,0.25,0.5,2,0,0.9,1
3,0.0,0.25,0.5,2,0,0.9,0
3,0.0,0.25,0.5,2,0,0.9,2
3,0.0,0.25,1.0,0,0,0.9,1
3,0.0,0.25,1.0,0,0,0.9,0
3,0.0,0.25,1.0,0,0,0.9,2
3,0.0,0.25,1.0,1,0,0.9,1
3,0.0,0.25,1.0,1,0,0.9,0
3,0.0,0.25,1.0,1,0,0.9,2
3,0.0,0.25,1.0,2,0,0.9,1
3,0.0,0.25,1.0,2,0,0.9,0
3,0.0,0.25,1.0,2,0,0.9,2
3,0.0,0.5,0.0,0,0,0.9,1
3,0.0,0.5,0.0,0,0,0.9,0
3,0.0,0.5,0.0,0,0,0.9,2
3,0.0,0.5,0.0,1,0,0.9,1
3,0.0,0.5,0.0,1,0,0.9,0
3,0.0,0.5,0.0,1,0,0.9,2
3,0.0,0.5,0.0,2,0,0.9,1
3,0.0,0.5,0.0,2,0,0.9,0
3,0.0,0.5,0.0,2,0,0.9,2
3,0.0,0.5,0.5,0,0,0.9,1
3,0.0,0.5,0.5,0,0,0.9,0
3,0.0,0.5,0.5,0,0,0.9,2
3,0.0,0.5,0.5,1,0,0.9,1
3,0.0,0.5,0.5,1,0,0.9,0
3,0.0,0.5,0.5,1,0,0.9,2
3,0.0,0.5,0.5,2,0,0.9,1
3,0.0,0.5,0.5,2,0,0.9,0
3,0.0,0.5,0.5,2,0,0.9,2
3,0.0,0.5,1.0,0,0,0.9,1
3,0.0,0.5,1.0,0,0,0.9,0
3,0.0,0.5,1.0,0,0,0.9,2
3,0.0,0.5,1.0,1,0,0.9,1
3,0.0,0.5,1.0,1,0,0.9,0
3,0.0,0.5,1.0,1,0,0.9,2
3,0.0,0.5,1.0,2,0,0.9,1
3,0.0,0.5,1.0,2,0,0.9,0
3,0.0,0.5,1.0,2,0,0.9,2
3,0.0,0.75,0.0,0,0,0.9,1
3,0.0,0.75,0.0,0,0,0.9,0
3,0.0,0.75,0.0,0,0,0.9,2
3,0.0,0.75,0.0,1,0,0.9,1
3,0.0,0.75,0.0,1,0,0.9,0
3,0.0,0.75,0.0,1,0,0.9,2
3,0.0,0.75,0.0,2,0,0.9,1
3,0.0,0.75,0.0,2,0,0.9,0
3,0.0,0.75,0.0,2,0,0.9,2
3,0.0,0.75,0.5,0,0,0.9,1
3,0.0,0.75,0.5,0,0,0.9,0
3,0.0,0.75,0.5,0,0,0.9,2
3,0.0,0.75,0.5,1,0,0.9,1
3,0.0,0.75,0.5,1,0,0.9,0
3,0.0,0.75,0.5,1,0,0.9,2
3,0.0,0.75,0.5,2,0,0.9,1
3,0.0,0.75,0.5,2,0,0.9,0
3,0.0,0.75,0.5,2,0,0.9,2
3,0.0,0.75,1.0,0,0,0.9,1
3,0.0,0.75,1.0,0,0,0.9,0
3,0.0,0.75,1.0,0,0,0.9,2
3,0.0,0.75,1.0,1,0,0.9,1
3,0.0,0.75,1.0,1,0,0.9,0
3,0.0,0.75,1.0,1,0,0.9,2
3,0.0,0.75,1.0,2,0,0.9,1
3,0.0,0.75,1.0,2,0,0.9,0
3,0.0,0.75,1.0,2,0,0.9,2
3,0.0,1.0,0.0,0,0,0.9,1
3,0.0,1.0,0.0,0,0,0.9,0
3,0.0,1.0,0.0,0,0,0.9,2
3,0.0,1.0,0.0,1,0,0.9,1
3,0.0,1.0,0.0,1,0,0.9,0
3,0.0,1.0,0.0,1,0,0.9,2
3,0.0,1.0,0.0,2,0,0.9,1
3,0.0,1.0,0.0,2,0,0.9,0
3,0.0,1.0,0.0,2,0,0.9,2
3,0.0,1.0,0.5,0,0,0.9,1
3,0.0,1.0,0.5,0,0,0.9,0
3,0.0,1.0,0.5,0,0,0.9,2
3,0.0,1.0,0.5,1,0,0.9,1
3,0.0,1.0,0.5,1,0,0.9,0
3,0.0,1.0,0.5,1,0,0.9,2
3,0.0,1.0,0.5,2,0,0.9,1
3,0.0,1.0,0.5,2,0,0.9,0
3,0.0,1.0,0.5,2,0,0.9,2
3,0.0,1.0,1.0,0,0,0.9,1
3,0.0,1.0,1.0,0,0,0.9,0
3,0.0,1.0,1.0,0,0,0.9,2
3,0.0,1.0,1.0,1,0,0.9,1
3,0.0,1.0,1.0,1,0,0.9,0
3,0.0,1.0,1.0,1,0,0.9,2
3,0.0,1.0,1.0,2,0,0.9,1
3,0.0,1.0,1.0,2,0,0.9,0
3,0.0,1.0,1.0,2,0,0.9,2
1,25.0,0.0,0.0,0,0,0.9,1
1,25.0,0.0,0.0,0,0,0.9,0
1,25.0,0.0,0.0,0,0,0.9,2
1,25.0,0.0,0.0,1,0,0.9,1
1,25.0,0.0,0.0,1,0,0.9,0
1,25.0,0.0,0.0,1,0,0.9,2
1,25.0,0.0,0.0,2,0,0.9,1
1,25.0,0.0,0.0,2,0,0.9,0
1,25.0,0.0,0.0,2,0,0.9,2
1,25.0,0.0,0.5,0,0,0.9,1
1,25.0,0.0,0.5,0,0,0.9,0
1,25.0,0.0,0.5,0,0,0.9,2
1,25.0,0.0,0.5,1,0,0.9,1
1,25.0,0.0,0.5,1,0,0.9,0
1,25.0,0.0,0.5,1,0,0.9,2
1,25.0,0.0,0.5,2,0,0.9,1
1,25.0,0.0,0.5,2,0,0.9,0
1,25.0,0.0,0.5,2,0,0.9,2
1,25.0,0.0,1.0,0,0,0.9,1
1,25.0,0.0,1.0,0,0,0.9,0
1,25.0,0.0,1.0,0,0,0.9,2
1,25.0,0.0,1.0,1,0,0.9,1
1,25.0,0.0,1.0,1,0,0.9,0
1,25.0,0.0,1.0,1,0,0.9,2
1,25.0,0.0,1.0,2,0,0.9,1
1,25.0,0.0,1.0,2,0,0.9,0
1,25.0,0.0,1.0,2,0,0.9,2
1,25.0,0.25,0.0,0,0,0.9,1
1,25.0,0.25,0.0,0,0,0.9,0
1,25.0,0.25,0.0,0,0,0.9,2
1,25.0,0.25,0.0,1,0,0.9,1
1,25.0,0.25,0.0,1,0,0.9,0
1,25.0,0.25,0.0,1,0,0.9,2
1,25.0,0.25,0.0,2,0,0.9,1
1,25.0,0.25,0.0,2,0,0.9,0
1,25.0,0.25,0.0,2,0,0.9,2
1,25.0,0.25,0.5,0,0,0.9,1
1,25.0,0.25,0.5,0,0,0.9,0
1,25.0,0.25,0.5,0,0,0.9,2
1,25.0,0.25,0.5,1,0,0.9,1
1,25.0,0.25,0.5,1,0,0.9,0
1,25.0,0.25,0.5,1,0,0.9,2
1,25.0,0.25,0.5,2,0,0.9,1
1,25.0,0.25,0.5,2,0,0.9,0
1,25.0,0.25,0.5,2,0,0.9,2
1,25.0,0.25,1.0,0,0,0.9,1
1,25.0,0.25,1.0,0,0,0.9,0
1,25.0,0.25,1.0,0,0,0.9,2
1,25.0,0.25,1.0,1,0,0.9,1
1,25.0,0.25,1.0,1,0,0.9,0
1,25.0,0.25,1.0,1,0,0.9,2
1,25.0,0.25,1.0,2,0,0.9,1
1,25.0,0.25,1.0,2,0,0.9,0
1,25.0,0.25,1.0,2,0,0.9,2
1,25.0,0.5,0.0,0,0,0.9,1
1,25.0,0.5,0.0,0,0,0.9,0
1,25.0,0.5,0.0,0,0,0.9,2
1,25.0,0.5,0.0,1,0,0.9,1
1,25.0,0.5,0.0,1,0,0.9,0
1,25.0,0.5,0.0,1,0,0.9,2
1,25.0,0.5,0.0,2,0,0.9,1
1,25.0,0.5,0.0,2,0,0.9,0
1,25.0,0.5,0.0,2,0,0.9,2
1,25.0,0.5,0.5,0,0,0.9,1
1,25.0,0.5,0.5,0,0,0.9,0
1,25.0,0.5,0.5,0,0,0.9,2
1,25.0,0.5,0.5,1,0,0.9,1
1,25.0,0.5,0.5,1,0,0.9,0
1,25.0,0.5,0.5,1,0,0.9,2
1,25.0,0.5,0.5,2,0,0.9,1
1,25.0,0.5,0.5,2,0,0.9,0
1,25.0,0.5,0.5,2,0,0.9,2
1,25.0,0.5,1.0,0,0,0.9,1
1,25.0,0.5,1.0,0,0,0.9,0
1,25.0,0.5,1.0,0,0,0.9,2
1,25.0,0.5,1.0,1,0,0.9,1
1,25.0,0.5,1.0,1,0,0.9,0
1,25.0,0.5,1.0,1,0,0.9,2
1,25.0,0.5,1.0,2,0,0.9,1
1,25.0,0.5,1.0,2,0,0.9,0
1,25.0,0.5,1.0,2,0,0.9,2
1,25.0,0.75,0.0,0,0,0.9,1
1,25.0,0.75,0.0,0,0,0.9,0
1,25.0,0.75,0.0,0,0,0.9,2
1,25.0,0.75,0.0,1,0,0.9,1
1,25.0,0.75,0.0,1,0,0.9,0
1,25.0,0.75,0.0,1,0,0.9,2
1,25.0,0.75,0.0,2,0,0.9,1
1,25.0,0.75,0.0,2,0,0.9,0
1,25.0,0.75,0.0,2,0,0.9,2
1,25.0,0.75,0.5,0,0,0.9,1
1,25.0,0.75,0.5,0,0,0.9,0
1,25.0,0.75,0.5,0,0,0.9,2
1,25.0,0.75,0.5,1,0,0.9,1
1,25.0,0.75,0.5,1,0,0.9,0
1,25.0,0.75,0.5,1,0,0.9,2
1,25.0,0.75,0.5,2,0,0.9,1
1,25.0,0.75,0.5,2,0,0.9,0
1,25.0,0.75,0.5,2,0,0.9,2
1,25.0,0.75,1.0,0,0,0.9,1
1,25.0,0.75,1.0,0,0,0.9,0
1,25.0,0.75,1.0,0,0,0.9,2
1,25.0,0.75,1.0,1,0,0.9,1
1,25.0,0.75,1.0,1,0,0.9,0
1,25.0,0.75,1.0,1,0,0.9,2
1,25.0,0.75,1.0,2,0,0.9,1
1,25.0,0.75,1.0,2,0,0.9,0
1,25.0,0.75,1.0,2,0,0.9,2
1,25.0,1.0,0.0,0,0,0.9,1
1,25.0,1.0,0.0,0,0,0.9,0
1,25.0,1.0,0.0,0,0,0.9,2
1,25.0,1.0,0.0,1,0,0.9,1
1,25.0,1.0,0.0,1,0,0.9,0
1,25.0,1.0,0.0,1,0,0.9,2
1,25.0,1.0,0.0,2,0,0.9,1
1,25.0,1.0,0.0,2,0,0.9,0
1,25.0,1.0,0.0,2,0,0.9,2
1,25.0,1.0,0.5,0,0,0.9,1
1,25.0,1.0,0.5,0,0,0.9,0
1,25.0,1.0,0.5,0,0,0.9,2
1,25.0,1.0,0.5,1,0,0.9,1
1,25.0,1.0,0.5,1,0,0.9,0
1,25.0,1.0,0.5,1,0,0.9,2
1,25.0,1.0,0.5,2,0,0.9,1
1,25.0,1.0,0.5,2,0,0.9,0
1,25.0,1.0,0.5,2,0,0.9,2
1,25.0,1.0,1.0,0,0,0.9,1
1,25.0,1.0,1.0,0,0,0.9,0
1,25.0,1.0,1.0,0,0,0.9,2
1,25.0,1.0,1.0,1,0,0.9,1
1,25.0,1.0,1.0,1,0,0.9,0
1,25.0,1.0,1.0,1,0,0.9,2
1,25.0,1.0,1.0,2,0,0.9,1
1,25.0,1.0,1.0,2,0,0.9,0
1,25.0,1.0,1.0,2,0,0.9,2
2,25.0,0.0,0.0,0,0,0.9,1
2,25.0,0.0,0.0,0,0,0.9,0
2,25.0,0.0,0.0,0,0,0.9,2
2,25.0,0.0,0.0,1,0,0.9,1
2,25.0,0.0,0.0,1,0,0.9,0
2,25.0,0.0,0.0,1,0,0.9,2
2,25.0,0.0,0.0,2,0,0.9,1
2,25.0,0.0,0.0,2,0,0.9,0
2,25.0,0.0,0.0,2,0,0.9,2
2,25.0,0.0,0.5,0,0,0.9,1
2,25.0,0.0,0.5,0,0,0.9,0
2,25.0,0.0,0.5,0,0,0.9,2
2,25.0,0.0,0.5,1,0,0.9,1
2,25.0,0.0,0.5,1,0,0.9,0
2,25.0,0.0,0.5,1,0,0.9,2
2,25.0,0.0,0.5,2,0,0.9,1
2,25.0,0.0,0.5,2,0,0.9,0
2,25.0,0.0,0.5,2,0,0.9,2
2,25.0,0.0,1.0,0,0,0.9,1
2,25.0,0.0,1.0,0,0,0.9,0
2,25.0,0.0,1.0,0,0,0.9,2
2,25.0,0.0,1.0,1,0,0.9,1
2,25.0,0.0,1.0,1,0,0.9,0
2,25.0,0.0,1.0,1,0,0.9,2
2,25.0,0.0,1.0,2,0,0.9,1
2,25.0,0.0,1.0,2,0,0.9,0
2,25.0,0.0,1.0,2,0,0.9,2
2,25.0,0.25,0.0,0,0,0.9,1
2,25.0,0.25,0.0,0,0,0.9,0
2,25.0,0.25,0.0,0,0,0.9,2
2,25.0,0.25,0.0,1,0,0.9,1
2,25.0,0.25,0.0,1,0,0.9,0
2,25.0,0.25,0.0,1,0,0.9,2
2,25.0,0.25,0.0,2,0,0.9,1
2,25.0,0.25,0.0,2,0,0.9,0
2,25.0,0.25,0.0,2,0,0.9,2
2,25.0,0.25,0.5,0,0,0.9,1
2,25.0,0.25,0.5,0,0,0.9,0
